"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Республики 205";"https://tyumen.brusnika.ru/flat/70032/";"64,6";"10030000";"12540000";"70032";"4";"Дом 3-1";"6";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/70038/";"66,8";"10030000";"12540000";"70038";"5";"Дом 3-1";"4";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56299/";"47,2";"10050000";"11820000";"56299";"4";"Дом 2";"9";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56852/";"54,3";"10050000";"12560000";"56852";"5";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67019/";"62";"10050000";"11170000";"67019";"4";"Дом 2-1";"1";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56853/";"48,8";"10050000";"11820000";"56853";"6";"Дом 2";"9";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/54966/";"64,8";"10060000";"12570000";"54966";"4";"Дом 3-1";"2";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58332/";"41,8";"10060000";"11840000";"58332";"5";"Дом 2";"3";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/58401/";"64,8";"10060000";"12570000";"58401";"5";"Дом 3-1";"2";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62461/";"42";"10060000";"11840000";"62461";"6";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54681/";"42,4";"10060000";"11840000";"54681";"4";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66890/";"42,4";"10060000";"11840000";"66890";"5";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54819/";"41,8";"10060000";"11840000";"54819";"4";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58324/";"44,3";"10070000";"12590000";"58324";"11";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67207/";"61,9";"10070000";"11190000";"67207";"3";"Дом 2-1";"1";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58341/";"42,9";"10080000";"11860000";"58341";"2";"Дом 2";"3";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67166/";"61,9";"10080000";"11200000";"67166";"6";"Дом 2-1";"1";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52272/";"82,9";"10080000";"12600000";"52272";"7";"Дом 9";"4";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/59917/";"63,4";"10090000";"12610000";"59917";"9";"Дом 3-1";"5";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49608/";"46,2";"10110000";"12640000";"49608";"6";"Дом 1";"4";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58325/";"45,8";"10110000";"12640000";"58325";"6";"Дом 1";"3";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/70034/";"76,1";"10110000";"12640000";"70034";"7";"Дом 3-1";"4";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56141/";"81,8";"10120000";"12650000";"56141";"6";"Дом 9";"3";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56316/";"81,8";"10120000";"12650000";"56316";"4";"Дом 9";"3";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51777/";"81,8";"10120000";"12650000";"51777";"3";"Дом 9";"3";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/59896/";"64,8";"10130000";"12660000";"59896";"7";"Дом 3-1";"2";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/59898/";"63,5";"10130000";"12660000";"59898";"9";"Дом 3-1";"3";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/59905/";"64,6";"10130000";"12660000";"59905";"7";"Дом 3-1";"6";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/58399/";"64,6";"10130000";"12660000";"58399";"6";"Дом 3-1";"6";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/70040/";"64,8";"10130000";"12660000";"70040";"6";"Дом 3-1";"2";"8"
"Речной порт";"https://tyumen.brusnika.ru/flat/71365/";"35,3";"10140000";"12670000";"71365";"9";"Дом 4";"8";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54180/";"54,3";"10140000";"12680000";"54180";"7";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67214/";"46,1";"10150000";"11280000";"67214";"10";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67229/";"64,6";"10150000";"11280000";"67229";"4";"Дом 2-1";"5";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/71367/";"35,3";"10150000";"12690000";"71367";"9";"Дом 4";"8";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62455/";"41,8";"10160000";"11950000";"62455";"6";"Дом 2";"3";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67259/";"61,9";"10170000";"11300000";"67259";"7";"Дом 2-1";"1";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56325/";"82,4";"10180000";"12730000";"56325";"2";"Дом 9";"4";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/43392/";"138,4";"10180000";"19380000";"43392";"1";"Дом 7-2";"1";"25"
"Дом у озера";"https://tyumen.brusnika.ru/flat/66307/";"54,1";"10180000";"11980000";"66307";"3";"Дом у озера 3";"3";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66323/";"39,6";"10180000";"12720000";"66323";"5";"Дом 1";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56297/";"47";"10180000";"11980000";"56297";"4";"Дом 2";"9";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56931/";"79,4";"10180000";"12730000";"56931";"6";"Дом 9";"6";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62036/";"47";"10180000";"11980000";"62036";"3";"Дом 2";"7";"7"
