"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70060/";"40,2";"7260000";"9510000";"70060"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48876/";"40,2";"7300000";"9560000";"48876"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48987/";"44,3";"7300000";"10380000";"48987"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67899/";"40,2";"7310000";"9570000";"67899"
"Зарека";"https://tyumen.brusnika.ru/flat/65617/";"33,5";"7350000";"8650000";"65617"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67900/";"45,6";"7380000";"9660000";"67900"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48916/";"45,6";"7380000";"9660000";"48916"
"Зарека";"https://tyumen.brusnika.ru/flat/63957/";"33,5";"7410000";"8720000";"63957"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52510/";"45,9";"7410000";"9700000";"52510"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67894/";"45,9";"7410000";"9700000";"67894"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/54221/";"45,9";"7430000";"9730000";"54221"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46765/";"45,7";"7440000";"9740000";"46765"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46750/";"45,9";"7440000";"9740000";"46750"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46772/";"46";"7440000";"9740000";"46772"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46968/";"45,7";"7480000";"9790000";"46968"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46719/";"49,4";"7480000";"9790000";"46719"
"Зарека";"https://tyumen.brusnika.ru/flat/70087/";"37,9";"7490000";"9360000";"70087"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58351/";"46,6";"7500000";"9810000";"58351"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67893/";"45,9";"7500000";"9810000";"67893"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48910/";"45,7";"7520000";"9840000";"48910"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46977/";"45,8";"7520000";"9840000";"46977"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59880/";"45,9";"7540000";"9860000";"59880"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67896/";"45,9";"7540000";"9860000";"67896"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46975/";"45,8";"7560000";"9890000";"46975"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46979/";"46";"7560000";"9890000";"46979"
"Зарека";"https://tyumen.brusnika.ru/flat/66991/";"35,1";"7570000";"9460000";"66991"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48898/";"45,7";"7640000";"9990000";"48898"
